           1           0         197         197   1.97168899    
     7.321     -0.864     1     0      8.202  2212  2212
    -4.497      3.218     2     3      6.716     0  2212
     5.235     -4.034     3     3      6.219     0  2212
    -1.575     -0.096     4     3      6.177     0  2212
     1.377     -1.721     5     3      5.651     0  2212
     0.260      1.105     6     3      5.639     0  2212
    -1.624     -1.583     7     3      5.589     0  2212
     3.563     -1.101     8     3      5.575     0  2212
    -3.097     -3.120     9     3      5.403     0  2212
     0.282     -3.483    10     3      5.284     0  2212
    -0.466     -4.841    11     3      4.668     0  2212
     0.940     -0.069    12     3      4.639     0  2212
     1.813      3.148    13     3      4.636     0  2212
     3.417     -3.090    14     1      4.340  2212  2212
    -0.727     -1.689    15     3      4.338     0  2212
    -3.819      0.520    16     3      4.244     0  2212
     3.164      3.740    17     3      4.224     0  2112
     0.858     -3.938    18     3      4.158     0  2212
     2.090      5.160    19     3      4.109     0  2212
    -3.673      1.479    20     3      4.081     0  2212
    -2.368      3.643    21     3      4.004     0  2212
     1.095      0.703    22     3      4.001     0  2212
     0.816     -0.121    23     3      3.995     0  2212
    -1.790     -3.452    24     3      3.928     0  2212
     4.844     -3.507    25     3      3.875     0  2212
     1.678      1.520    26     3      3.845     0  2212
    -4.909      1.501    27     3      3.730     0  2212
    -1.158      4.365    28     3      3.702     0  2212
     1.061      3.645    29     3      3.640     0  2112
    -1.774      3.988    30     3      3.505     0  2212
    -1.315      0.418    31     3      3.479     0  2212
    -2.815     -0.263    32     3      3.274     0  2212
    -3.502     -2.097    33     3      3.242     0  2212
     0.125      5.265    34     3      3.237     0  2212
    -4.800      0.877    35     3      3.104     0  2212
     4.113     -3.810    36     3      3.042     0  2112
     0.868     -5.296    37     3      2.918     0  2212
     3.941      0.777    38     3      2.870     0  2212
     4.186      3.937    39     3      2.794     0  2212
    -3.380     -1.378    40     3      2.757     0  2212
     1.725      4.076    41     3      2.609     0  2212
     3.311      1.075    42     3      2.552     0  2212
    -2.131     -5.260    43     3      2.548     0  2212
     2.706      1.148    44     3      2.484     0  2212
    -1.646      0.701    45     3      2.475     0  2112
     4.705     -1.009    46     3      2.468     0  2212
     1.101      4.464    47     3      2.438     0  2212
     3.313      0.609    48     3      2.436     0  2212
    -0.519      0.819    49     3      2.434     0  2212
     2.760      0.555    50     3      2.405     0  2212
     4.500      3.648    51     0      2.387  2212  2212
    -0.459      4.562    52     3      2.379     0  2112
     5.875     -0.676    53     3      2.363     0  2212
     2.095      0.679    54     3      2.242     0  2212
     6.455     -3.659    55     0      2.219  2212  2212
